ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,27.5,0.25,6.3,0.16,5.6,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.4,-1.21,35.6,-1.2,35.2,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.8,-1.19,34.6,-1.16,33.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.2,-1.26,38.3,-1.23,36.6,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,27.1,0.16,5.5,0.1,5.2,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,-1.59,55.8,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,25.2,-0.25,6.3,-0.3,6.9,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.8,-0.84,20,-0.79,18,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,25.4,-0.02,5,-0.15,5.4,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,26.4,0.08,5.1,0.08,5.1,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.4,-0.49,10,-0.59,12.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,-1.75,64.6,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.8,-0.26,6.4,-0.23,6.1,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,26.1,0.08,5.1,-0.04,5,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.1,-0.22,6,-0.52,10.6,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.1,-1.39,44.8,-1.29,39.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.3,-0.34,7.4,-0.58,12,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,25.3,-0.12,5.3,-0.19,5.7,14.5
